16:11:26	r	b	swpd	free	buff	cache	si	so	bi	bo	in	cs	us	sy	id	wa	st
16:11:26	1	0	0	4375972	160288	2814724	0	0	0	0	1	1	0	0	100	0	0
16:11:27	0	0	0	4375784	160288	2814724	0	0	0	0	132	79	0	0	100	0	0
16:11:28	0	0	0	4375536	160288	2814732	0	0	0	0	109	157	0	0	100	0	0
16:11:29	0	0	0	4375536	160288	2814732	0	0	0	0	60	93	0	0	100	0	0
16:11:30	0	0	0	4375536	160288	2814732	0	0	0	0	85	126	0	0	100	0	0
16:11:31	0	0	0	4375536	160288	2814732	0	0	0	0	104	160	0	0	100	0	0
16:11:32	0	0	0	4375536	160288	2814732	0	0	0	36	134	146	0	0	100	0	0
16:11:33	0	0	0	4375412	160288	2814732	0	0	0	0	54	83	0	0	100	0	0
16:11:34	0	0	0	4375412	160288	2814732	0	0	0	0	63	96	0	0	100	0	0
16:11:35	0	0	0	4375412	160288	2814732	0	0	0	76	100	140	0	0	100	0	0
16:11:36	0	0	0	4375412	160288	2814732	0	0	0	0	70	92	0	0	100	0	0
16:11:37	0	0	0	4375412	160288	2814732	0	0	0	0	117	171	0	0	100	0	0
16:11:38	0	0	0	4375420	160288	2814732	0	0	0	16	133	192	0	0	100	0	0
16:11:39	0	0	0	4375544	160288	2814732	0	0	0	0	186	172	0	0	100	0	0
16:11:40	0	0	0	4375544	160288	2814732	0	0	0	0	62	92	0	0	100	0	0
16:11:41	0	0	0	4375544	160288	2814732	0	0	0	0	47	79	0	0	100	0	0
16:11:42	0	0	0	4375544	160288	2814732	0	0	0	0	62	92	0	0	100	0	0
16:11:43	0	0	0	4375544	160288	2814732	0	0	0	0	59	101	0	0	100	0	0
16:11:44	0	0	0	4375544	160288	2814732	0	0	0	12	64	98	0	0	100	0	0
16:11:45	0	0	0	4375544	160288	2814732	0	0	0	0	48	81	0	0	100	0	0
16:11:46	0	0	0	4375544	160288	2814732	0	0	0	0	59	93	0	0	100	0	0
16:11:47	0	0	0	4375544	160288	2814732	0	0	0	0	46	78	0	0	100	0	0
16:11:48	0	0	0	4375544	160288	2814732	0	0	0	0	58	92	0	0	100	0	0
16:11:49	0	0	0	4375544	160288	2814732	0	0	0	0	48	79	0	0	100	0	0
16:11:50	0	0	0	4375544	160288	2814732	0	0	0	12	65	103	0	0	100	0	0
16:11:51	0	0	0	4375544	160288	2814732	0	0	0	0	53	79	0	0	100	0	0
16:11:52	0	0	0	4375544	160288	2814732	0	0	0	0	57	86	0	0	100	0	0
16:11:53	0	0	0	4375544	160288	2814732	0	0	0	0	49	82	0	0	100	0	0
16:11:54	0	0	0	4375544	160288	2814732	0	0	0	0	69	89	0	0	100	0	0
16:11:55	0	0	0	4375544	160288	2814732	0	0	0	20	62	105	0	0	100	0	0
16:11:56	0	0	0	4375544	160288	2814732	0	0	0	24	69	103	0	0	100	0	0
16:11:57	0	0	0	4375544	160288	2814732	0	0	0	0	76	90	0	0	100	0	0
16:11:58	0	0	0	4375544	160288	2814732	0	0	0	0	59	93	0	0	100	0	0
16:11:59	0	0	0	4375544	160288	2814732	0	0	0	0	54	91	0	0	100	0	0
16:12:00	0	0	0	4375544	160288	2814732	0	0	0	8	60	95	0	0	100	0	0
16:12:01	0	0	0	4375544	160288	2814732	0	0	0	0	53	84	0	0	100	0	0
16:12:02	0	0	0	4375544	160288	2814732	0	0	0	40	61	100	0	0	100	0	0
